key;character_name;text
;;
intro_1;Рассказчик;Уилкинс шел домой поздно вечером под проливным дождем.
intro_2;Рассказчик;Он точно знал, что скажет матери, когда она меня спросит почему он задержался.
intro_3;Рассказчик;Матерям свойственно расстраиваться и беспокоится по пустякам. 
intro_4;Рассказчик;Как то раз Уилкинс с другом в чисто исследовательских интересах выкопали глубокую яму в соседском дворе.
intro_5;Рассказчик;А старенький  м-р Гарольд упал в нее и сломал колено.
intro_6;Рассказчик;Мама Уилкинса сделала из этого целую истории, где он - главный злодей, его друг злостный сообщник и вообще они все преступники.
intro_7;Рассказчик;Да, было дело...
intro_8;Рассказчик;Хм...
intro_9;Рассказчик;Уилкинс задумался: у мамы скоро день рождения.
intro_10;Рассказчик;Надо напомнить об этом Кейли, пусть хоть подарок купит.
intro_11;Рассказчик;Она как старшая сестра должна быть самой ответственной и следить за мной и младшим братом.
;;
int_strange_painting_1;;Картина сильно потерлась, из-за чего почти не разобрать что на ней изображено.
int_strange_painting_2;;Но может это и к лучшему.
int_strange_painting_3;;Не похоже, что это было хорошая картина.
;;
int_toma_tv_1;;Экран телевизора заполняет пространство перед собой золотым свечением.
int_toma_tv_2;;Поскольку он ничего не показывает, он здесь скорее работает как лампа, нежели как телевизор.
;;
01_secretary_fashion;???;...такие модные вещи сейчас нигде не купишь...
01_secretary_fashion_response_1;;Чего?
01_secretary_fashion_response_2;;Как я здесь оказался?
01_secretary_fashion_response_3;;Вы работник коммунальных услуг?
;;
secretary_first_meet_1;???;Ожидайте, к вам подойдут.
secretary_first_meet_2;???;Можете пока присесть... где-нибудь.
secretary_first_meet_3;???;Постойте, так вы что, только что умерли?
secretary_first_meet_4;Герта;"Меня зовут Герта" - улыбнулась она - "Приятно познакомиться".
secretary_first_meet_5;Герта;А вы должно быть... Уилкинс? 
secretary_first_meet_6;Герта;Если честно, здесь давно никого не было. Я даже не совсем понимаю, что нужно делать
secretary_first_meet_7;;Герта начала копаться в своем блокноте
secretary_first_meet_8;Герта;Хм...
secretary_first_meet_9;Герта;Хмммм...
secretary_first_meet_10;Герта;ХММММ!..
secretary_first_meet_11;;Затем она взяла телефон, и набрала короткий номер
secretary_first_meet_12;Герта;Босс, у нас в приемной стоит человек, похоже, это наш "умерший".
secretary_first_meet_13;;Кажется, на том конце провода не слишком этому рады.
secretary_first_meet_14;Герта;...
secretary_first_meet_15;Герта;Вы уверены? Это же слишком…
secretary_first_meet_16;Герта;…поняла. 
secretary_first_meet_17;Герта;Сделаю в этот раз без сахара. А с "умершим" что делать?
secretary_first_meet_18;Герта;Поняла, сейчас передам.
secretary_first_meet_19;;Она положила трубку и снова обратилась ко мне с улыбкой.
secretary_first_meet_20;Герта;Босс сказал передать тебя ему. Тебе повезло!
